# 中国高校名称
# 来自教育部门，包括部分曾用名
#
# 学校名称	英文名称

华南农业大学珠江学院	Zhujiang College, South China Agriculture University / Zhujiang College, South China Agricultural University
华南师范大学	South China Normal University
华南热带农业大学	
华南理工大学	South China University of Technology
华南理工大学广州学院	Guangzhou College of South China University of Technology
南京中医药大学	Nanjing University of Chinese Medicine
南京中医药大学翰林学院	Nanjing University of Chinese Medicine Hanlin College
南京交通职业技术学院	Nanjing Vocational Institute of Transport Technology / Nanjing Communications Institute of Technology
南京人口管理干部学院	
南京传媒学院	Communication University of China, Nanjing
南京体育学院	Nanjing Sport Institute
南京信息工程大学	Nanjing University of Information Science & Technology
南京信息工程大学滨江学院	
南京信息职业技术学院	Nanjing Vocational College of Information Technology
南京农业大学	Nanjing Agricultural University
南京化工职业技术学院	
南京医科大学	Nanjing Medical University
南京医科大学康达学院	Kangda College of Nanjing Medical University
南京城市职业学院	Nanjing City Vocational College
南京大学	Nanjing University
南京大学金陵学院	Nanjing University Jinling College
南京审计大学	Nanjing Audit University
