# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

维也纳康普斯高等专业学院	Fachhochschule Campus Wien	奥地利
维也纳爵士与流行音乐大学	Jam Music Lab - Privatuniversität für Jazz und Popularmusik Wien	奥地利
维也纳兽医大学	Veterinärmedizinische Universität Wien	奥地利
维也纳新城高等专业学院	Fachhochschule Wiener Neustadt	奥地利
维也纳经济高等专业学院	FHWien der WKW	奥地利
伍伦贡大学	University of Wollongong	澳大利亚
维多利亚大学	Victoria University	澳大利亚
威廉安格利斯技术与继续教育学院	William Angliss Institute of TAFE	澳大利亚
文特沃斯高等教育学院	Wentworth Institute of Higher Education	澳大利亚
维多利亚理工学院	Victorian Institute of Technology	澳大利亚
伍伦贡学院	UOW College	澳大利亚
行政与合作研究高等学院	Higher Institute of Administrative and Cooperative Studies	埃及
西奈大学	Sinai University	埃及
西格蒙德弗洛伊德私立大学	Sigmund Freud Privatuniversität	奥地利
新英格兰大学	University of New England	澳大利亚
新南威尔士大学	The University of New South Wales	澳大利亚
悉尼大学	The University of Sydney	澳大利亚
西澳大利亚大学	The University of Western Australia	澳大利亚
悉尼科技大学	University of Technology Sydney	澳大利亚
悉尼商业技术学院	Sydney Institute of Business and Technology	澳大利亚
悉尼国际管理学院	International College of Management, Sydney	澳大利亚
信息技术学院	Academy of Information Technology	澳大利亚
西澳国际技术与继续教育学院	TAFE International Western Australia	澳大利亚
西悉尼大学	Western Sydney University	澳大利亚
新南威尔士技术与继续教育学院	TAFE NSW	澳大利亚
悉尼环球商学院	Universal Business School Sydney	澳大利亚
悉尼传统中医学院	Sydney Institute of Traditional Chinese Medicine	澳大利亚
悉尼理工学院	Sydney Polytechnic Institute	澳大利亚
悉尼科技大学学院	University of Technology Sydney College	澳大利亚
香农理工大学-中部中西部	Technological University of the Shannon: Midlands Midwest	爱尔兰
西里海大学	Western Caspian University	阿塞拜疆
西迪贝勒阿巴斯吉拉里里耶比思大学	جامعة جيلالي ليابس سيدي بلعباس	阿尔及利亚
亚历山大大学	Alexandria University	埃及
亚历山大马里奥特国王计算机高等学院	Higher Institute of Computer King Marriott-Alex	埃及
亚历山大马里奥特国王旅游酒店高等学院	Higher Institute of Tourism and Hotels,King Marriott, Alexandria	埃及
亚的斯亚贝巴大学	Addis Ababa University	埃塞俄比亚
因斯布鲁克大学	Universität Innsbruck	奥地利
约阿内高等专业学院	Fachhochschule Joanneum	奥地利
因斯布鲁克医科大学	Medizinische Universität Innsbruck	奥地利
伊迪斯科文大学	Edith Cowan University	澳大利亚
阳光海岸大学	University of the Sunshine Coast	澳大利亚
伊迪斯科文学院	Edith Cowan College	澳大利亚
英才教育学院	Elite Education Institute	澳大利亚
亚太国际学院	Asia Pacific International College	澳大利亚
音乐与表演艺术学院	Academy of Music and Performing Arts	澳大利亚
伊塞西雅学院	Excelsia College	澳大利亚
亚历山大乔瓦尼大学	Universiteti "Aleksander Xhuvani" Elbasan	阿尔巴尼亚
扎加齐克大学	Zagazig University	埃及
中欧大学私立大学	Central European University Private University	奥地利
中央昆士兰大学	Central Queensland University	澳大利亚
詹姆斯库克大学	James Cook University	澳大利亚
中央技术学院	Central Institute of Technology	澳大利亚
阿拉伯美国大学	Arab American University	巴勒斯坦
阿巴辛大学	Abasyn University	巴基斯坦
安汉比莫隆比大学	Universidade Anhembi Morumbi	巴西
埃斯塔西奥·德·萨大学	Universidade Estácio de Sá	巴西
阿拉戈斯联邦大学	Universidade Federal de Alagoas	巴西
AIEC学院	Faculdade AIEC	巴西
阿曼多·阿尔瓦雷斯·彭特亚多基金会法学院	Faculdade de Direito da Fundação Armando Alvares Penteado	巴西
安特卫普大学	Universiteit Antwerpen	比利时
安特卫普大学学院	Artesis Plantijn Hogeschool Antwepen	比利时
安特卫普管理学院	Antwerp Management School	比利时
阿尔贝·雅卡尔高等学院	Haute Ecole Albert Jacquard	比利时
奥波莱大学	Uniwersytet Opolski	波兰
安特诺尔·奥雷戈私立大学	Universidad Privada Antenor Orrego	秘鲁
阿波美-卡拉维大学	Université d'Abomey-Calavi	贝宁共和国
阿波美-卡拉维大学-国立应用经济与管理学院	Université d'Abomey-Calavi - Ecole Nationale d'Economie Appliquée et de Management	贝宁共和国
保加利亚美国大学	American University in Bulgaria	保加利亚
冰岛大学	Háskóli Íslands	冰岛
冰岛艺术大学	Listaháskóli Íslands	冰岛
博茨瓦纳大学	University of Botswana	博茨瓦纳
白沙瓦大学	University of Peshawar	巴基斯坦
巴基斯坦工程与应用科学学院	Pakistan Institute of Engineering and Applied Sciences	巴基斯坦
巴利亚大学	Bahria University	巴基斯坦
白沙瓦农业大学	The University of Agriculture Peshawar	巴基斯坦
巴哈丁·扎卡里亚大学	Bahauddin Zakariya University	巴基斯坦
巴基斯坦经济发展学院	Pakistan Institute of Development Economics	巴基斯坦
白沙瓦萨哈德科学与信息技术大学	Sarhad University of Science & Information Technology, Peshawar	巴基斯坦
白沙瓦工程技术大学	University of Engineering and Technology, Peshawar	巴基斯坦
本努科技大学	University of Science and Technology, Bannu	巴基斯坦
俾路支斯坦大学	University of Balochistan	巴基斯坦
比肯豪斯国立大学	Beaconhouse National University	巴基斯坦
巴哈瓦尔布尔伊斯兰大学	The Islamia University of Bahawalpur	巴基斯坦
巴沙汗大学	Bacha Khan University	巴基斯坦
白沙瓦伊斯兰学院	Islamia College Peshawar	巴基斯坦
巴拿马大学	Universidad de Panamá	巴拿马
巴拿马拉丁大学	Universidad Latina de Panamá	巴拿马
巴西利亚大学	Universidade de Brasília	巴西
巴拉那联邦大学	Universidade Federal do Paraná	巴西
伯南布哥联邦大学	Universidade Federal de Pernambuco	巴西
北里奥格兰德联邦大学	Universidade Federal do Rio Grande do Norte	巴西
保利斯塔大学	Universidade Paulista	巴西
巴西利亚大学中心	Centro Universitário de Brasília	巴西
巴拉那天主教大学	Pontifícia Universidade Católica do Paraná	巴西
巴伊亚联邦大学	Universidade Federal da Bahia	巴西
伯南布哥卫生学院	Faculdade Pernambucana de Saúde	巴西
巴拉那图尤蒂大学	Universidade Tuiuti do Paraná	巴西
巴拉那高等教育学院	Faculdade de Educação Superior do Paraná	巴西
北里奥格兰德科学、文化与推广学院	Faculdade de Ciências, Cultura e Extensão do Rio Grande do Norte	巴西
巴西物理研究中心	Centro Brasileiro de Pesquisas Físicas	巴西
巴西利亚教育、发展与研究学院	Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília	巴西
伯南布哥大学	Universidade de Pernambuco	巴西
（法语）布鲁塞尔自由大学	Université libre de Bruxelles	比利时
布鲁塞尔皇家音乐学院	Conservatoire royal de Bruxelles	比利时
布鲁塞尔市立皇家美术学院	Académie royale des beaux-arts de Bruxelles - École supérieure des arts	比利时
布鲁塞尔伊拉斯姆斯学院	Erasmushogeschool Brussel	比利时
布鲁塞尔自由大学	Vrije Universiteit Brussel	比利时
布鲁塞尔欧洲大学学院	Europese Hogeschool Brussel	比利时
布鲁塞尔伊利亚·普里高津高等学院	Haute Ecole Libre de Bruxelles-Ilya Prigogine	比利时
比得哥熙卡基米日维尔基大学	Uniwersytet Kazimierza Wielkiego w Bydgoszczy	波兰
比得哥熙音乐学院	Akademia Muzyczna imienia Feliksa Nowowiejskiego w Bydgoszczy	波兰
波兹南工业大学	Politechnika Poznańska	波兰
波兹南经济大学	Uniwersytet Ekonomiczny w Poznaniu	波兰
波兹南密茨凯维奇大学	Uniwersytet im. Adama Mickiewicza w Poznaniu	波兰
波兹南生命科学大学	Poznan University of Life Sciences	波兰
波兹南医科大学	Poznan University of Medical Sciences	波兰
波美拉尼亚医科大学	Pomeranian Medical University in Szczecin	波兰
比亚威斯托克大学	Uniwersytet w Białymstoku	波兰
波兰科学院免疫学与实验治疗研究所	Polskiej Akademii Nauk Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda we Wrocławiu	波兰
波兰科学院空间研究中心	Centrum Badań Kosmicznych Polskiej Akademii Nauk	波兰
比亚威斯托克技术大学	Politechnika Białostocka	波兰
波兰科学院物理研究所	Instytut Fizyki Polskiej Akademii Nauk w Warszawie	波兰
波兰科学院数学研究所	Instytut Matematyczny Polskiej Akademii Nauk	波兰
波兰科学院低温与结构研究所	Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk	波兰
波兹南艺术大学	Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu	波兰
比得哥熙理工大学	Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich	波兰
波兰科学院实验生物学研究所	Instytutu Biologii Doświadczalnej im. M. Nenckiego PAN	波兰
波兰-日本信息技术学院	Polsko-Japońska Akademia Technik Komputerowych w Warszawie	波兰
